name,age,educational level,number of not paid past credits,dependents,profession,working sector,monthly income,monthly expenditure,savings (debt),debt-to-income ratio before credit,credit: monthly amount,credit-to-income ratio,type of credit,requested_loan_duration,debt-to-income ratio after credit,collateral,collateral type,estimated seizable assets,y-categorical-default,PD_LR,PD_NN,PD_RF,group_key,LGD,EAD,EL_LR,EL_NN,EL_RF,IRB_Capital_LR,IRB_Capital_NN,IRB_Capital_RF
name0,31,ausbildung,0,0,Unemployed_MediumSkilled,IT Support,617,386.3014610861457,230.69853891385435,0.0,394.69447959323065,0.576584031959495,simple loans,24,0.2657956899179519,0,none,1546.377861928023,0,0.5949471630916089,0.4229001,0.15,IT Support_simple loans,1.0,9472.667510237536,5550.983160999195,4073.2470294021405,1439.8454615561054,3273.08659000604,4154.985041544006,3969.637918509176
name1,62,ausbildung,1,0,MediumSkilled,IT Support,9908,3962.780807385737,5945.219192614263,0.0,4806.214812921425,0.9152464511583828,auto loans,36,0.0,10248,liquid assets,34432.4475512208,1,0.4420217005963058,0.47400257,0.51,IT Support_auto loans,0.9437064422221544,173023.7332651713,71028.37110675637,76906.58112938447,87683.2995042027,70347.15019502478,67953.0782262132,64900.691122593526
name2,58,high school or lower,1,0,LowSkilled,Agriculture,4888,3479.436475313702,1408.563524686298,0.0,1972.30566144187,0.263851940754126,simple loans,24,0.115331861038374,20661,car,22148.87466657019,0,0.36417069778081007,0.25572965,0.37,Agriculture_simple loans,0.6280798153130277,47335.335874604876,10970.506166129826,7075.827825308667,10732.663214018608,13599.094044021953,13834.61128810957,13555.03241316804
name3,30,post graduate degree,0,0,Unemployed_HighSkilled,Finance,868,802.5745589117271,65.42544108827292,0.0,434.7851515114489,0.3947805377038488,auto loans,48,0.4255296203031982,73241,house,80089.87756422948,0,0.09055118293015565,0.074502066,0.07,Finance_auto loans,0.0,20869.687272549545,0.0,0.0,0.0,0.0,0.0,0.0
name4,58,high school or lower,1,0,LowSkilled,Construction,4866,5161.3702713264975,-295.37027132649746,0.0607008366885527,3072.7381683832955,0.5629869610710563,auto loans,12,0.6921718947204671,0,none,7470.626458372131,1,0.6105972188626655,0.8549751,0.81,Construction_auto loans,1.0,36872.858020599546,22197.460528400927,31858.14932979801,29240.17641033544,12349.25374285829,5080.96886315114,6555.523981054659
name5,36,bachelor degree,1,0,HighSkilled,Finance,2063,1576.937101415241,486.0628985847591,0.0,1143.0676399563467,0.2107725610970223,simple loans,48,0.318470548410852,58666,house,59615.39306692821,0,0.14570831987978444,0.09350895,0.13,Finance_simple loans,0.2558597784308589,54867.24671790464,2021.5183087230264,1375.7555156587264,1895.1734144278378,5831.78811257261,4963.834758035341,5621.72079932811
name6,52,high school or lower,1,0,LowSkilled,Agriculture,4278,3736.568174017924,541.4318259820761,0.0,1957.14264378584,0.9898671567668372,mortgages,48,0.3309281949050406,0,none,6729.113442261774,0,0.8165548767916051,0.91180795,0.66,Agriculture_mortgages,1.0,93942.84690172032,75342.1632151797,86991.07623099301,60781.02194541305,16162.645670977552,8017.290763619759,28140.976282150532
name7,42,high school or lower,0,0,Unemployed_LowSkilled,Construction,763,510.5591010950025,252.44089890499748,0.0,523.1673399634016,0.3874301090361815,auto loans,36,0.3548184024356541,21167,car,20897.665808483536,0,0.3250526028854534,0.17010418,0.15,Construction_auto loans,0.04336847614146188,18834.024238682458,245.04087925290446,145.39092169005664,124.15404548813827,379.70454718322776,354.39219482612566,342.2913221349362
name8,56,ausbildung,0,0,MediumSkilled,IT Support,9545,4627.046059924531,4917.953940075469,0.0,9085.169112868143,0.7876415492339589,mortgages,24,0.4365861888729883,40071,car,65844.09027687041,0,0.1483916142331151,0.095019944,0.1,IT Support_mortgages,0.8431364078282111,218044.05870883545,25370.042048311054,18751.77020962121,16177.997827908495,76793.6623033321,65436.24747054111,66807.12427694607
name9,35,post graduate degree,0,0,HighSkilled,Consultant,1814,1276.1292165350303,537.8707834649695,0.0,999.361129991475,0.6957969902118593,auto loans,48,0.2544048216794407,13219,liquid assets,20315.92478619084,0,0.14316351588988954,0.09048308,0.03,Consultant_auto loans,0.738585232182846,47969.3342395908,4924.692419513655,2798.9259074933725,1027.4538141431367,14638.470618878917,12356.552769473888,7053.617530205091
